Filename,Ref_TH,Ex_TH,AE_TH (cm),APE_TH (%),Ref_CD,Ex_CD,AE_CD (cm),APE_CD (%)
FT01_IMG_20230309_103936_LEFT.jpg,215,248.79,33.79,15.72,181,205.67,24.67,13.63
FT02_IMG_20230309_104643_LEFT.jpg,155,149.7,5.3,3.42,85,95.19,10.19,11.99
FT03_IMG_20230309_104917_LEFT.jpg,252,255.85,3.85,1.53,135,130.98,4.02,2.98
FT04_IMG_20230309_105723_LEFT.jpg,250,231.22,18.78,7.51,125,132.26,7.26,5.81
FT05_IMG_20230309_105951_LEFT.jpg,190,178.81,11.19,5.89,170,161.01,8.99,5.29
FT06_IMG_20230309_110109_LEFT.jpg,275,264.64,10.36,3.77,190,180.14,9.86,5.19
FT07_IMG_20230309_110241_LEFT.jpg,220,242.96,22.96,10.44,130,142.32,12.32,9.48
FT08_IMG_20230309_110358_LEFT.jpg,263,239.1,23.9,9.09,240,266.58,26.58,11.08
FT09_IMG_20230309_110659_LEFT.jpg,278,257.01,20.99,7.55,210,201.69,8.31,3.96
FT10_IMG_20230309_110809_LEFT.jpg,125,117.69,7.31,5.85,150,137.67,12.33,8.22
FT11_IMG_20230309_110932_LEFT.jpg,260,281.84,21.84,8.4,170,194.04,24.04,14.14
FT12_IMG_20230309_111128_LEFT.jpg,288,283.43,4.57,1.59,180,191.02,11.02,6.12
FT13_IMG_20230309_111312_LEFT.jpg,170,160.27,9.73,5.72,118,109.75,8.25,6.99
FT14_IMG_20230309_111409_LEFT.jpg,240,217.31,22.69,9.45,160,152.54,7.46,4.66
FT15_IMG_20230309_111448_LEFT.jpg,288,286.06,1.94,0.67,190,273.63,83.63,44.02
FT16_IMG_20230309_111603_LEFT.jpg,280,263.28,16.72,5.97,270,267.04,2.96,1.1
FT17_IMG_20230309_111712_LEFT.jpg,204,218.39,14.39,7.05,140,143.48,3.48,2.49
FT18_IMG_20230309_111751_LEFT.jpg,170,155.76,14.24,8.38,100,94.39,5.61,5.61
FT19_IMG_20230309_112650_LEFT.jpg,105,98.54,6.46,6.15,85,80.84,4.16,4.89
FT20_IMG_20230309_112754_LEFT.jpg,170,161.67,8.33,4.9,100,98.2,1.8,1.8
