Filename,Ref_DBH,Ex_DBH,AE_DBH (cm),APE_DBH (%)
T01_IMG_20230531_114915_LEFT.jpg,30.56,24.12,6.44,21.07
T02_IMG_20230531_115337_LEFT.jpg,24.19,20.27,3.92,16.21
T03_IMG_20230531_115726_LEFT.jpg,15.12,12.77,2.35,15.54
T04_IMG_20230531_115950_LEFT.jpg,28.52,25.41,3.11,10.9
T05_IMG_20230531_120213_LEFT.jpg,24.51,21.95,2.56,10.44
T06_IMG_20230531_120411_LEFT.jpg,25.31,19.7,5.61,22.17
T07_IMG_20230531_120606_LEFT.jpg,22.28,17.93,4.35,19.52
T08_IMG_20230531_120739_LEFT.jpg,35.01,26.75,8.26,23.59
T09_IMG_20230531_120923_LEFT.jpg,18.78,12.63,6.15,32.75
T10_IMG_20230531_121108_LEFT.jpg,28.65,13.07,15.58,54.38
